"filename", "language", "JavaScript", "JavaScript React", "Markdown", "XML", "CSS", "JSON", "HTML", "SQL", "comment", "blank", "total"
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\with-offers\[slug].js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 2, 4, 56
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\with-offers\index.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\[slug].js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 8, 88
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\index.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 8, 4, 73
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-offers\[slug].js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 3, 3, 77
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-offers\index.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 6, 5, 79
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-trades\[slug].js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 3, 3, 72
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\users\with-trades\index.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 2, 3, 63
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\index.jsx", "JavaScript React", 0, 200, 0, 0, 0, 0, 0, 0, 0, 12, 212
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\login.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\GLTFLoader.js", "JavaScript", 2308, 0, 0, 0, 0, 0, 0, 0, 294, 457, 3059
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\ably.min-1.0.13.js", "JavaScript", 301, 0, 0, 0, 0, 0, 0, 0, 11, 0, 312
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\ammo\ammo.js", "JavaScript", 543, 0, 0, 0, 0, 0, 0, 0, 4, 11, 558
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\ammo\ammo.wasm.js", "JavaScript", 513, 0, 0, 0, 0, 0, 0, 0, 1, 6, 520
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\beerPong.html", "HTML", 0, 0, 0, 0, 0, 0, 489, 0, 0, 68, 557
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\enable3d.ammoPhysics.0.23.0.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3
"d:\Dev\Beer-Bulletin\beer-bulletin\public\beerPong\three.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 5, 1, 7
"d:\Dev\Beer-Bulletin\beer-bulletin\public\vercel.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\Dev\Beer-Bulletin\beer-bulletin\styles\muiImports.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Dev\Beer-Bulletin\beer-bulletin\styles\theme.jsx", "JavaScript React", 0, 92, 0, 0, 0, 0, 0, 0, 4, 4, 100
"d:\Dev\Beer-Bulletin\beer-bulletin\util\getImageData.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 5, 1, 22
"d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\AblyReactEffect.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 1, 9, 36
"d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\useAsynFetch.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\useFramerScroll.jsx", "JavaScript React", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Dev\Beer-Bulletin\beer-bulletin\util\hooks\useS3Connect.jsx", "JavaScript React", 0, 99, 0, 0, 0, 0, 0, 0, 9, 17, 125
"d:\Dev\Beer-Bulletin\beer-bulletin\util\pathAccessS3.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"Total", "-", 5333, 3960, 37, 4, 67, 16983, 489, 2, 565, 1189, 28629
